№;Объект;П-Н;Км;М;Сторона;Параметр;Тип;Дефект;Огр.скорости (км/ч);
1;Накладка;1 - 20303;102;719;Правая (1);4 отверстия; ; ;25 / 25;
2;Стык. зазор;1 - 20303;102;719;Правая (3);43; ;99.1 – прочие дефекты и повреждения рельса, Кустовая негодность;0 / 0;
3;Дефект;1 - 20303;102;719;Правая (3);7.0;Вне стыка;;0 / 0;
4;Стык. зазор;1 - 20303;103;480;Правая (1);46; ;99.1 – прочие дефекты и повреждения рельса, Кустовая негодность;0 / 0;
5;Стык. зазор;1 - 20303;103;583;Левая (4);49; ;99.1 – прочие дефекты и повреждения рельса;0 / 0;
6;Стык. зазор;1 - 20303;103;739;Левая (4);28; ;;60 / 60;
7;Стык. зазор;1 - 20303;104;64;Правая (1);40; ;99.1 – прочие дефекты и повреждения рельса, Кустовая негодность;0 / 0;
8;Дефект;1 - 20303;104;72;Левая (2);9.0;Вне стыка;;0 / 0;
9;Дефект;1 - 20303;104;73;Левая (2);9.0;Вне стыка;;0 / 0;
10;Дефект;1 - 20303;104;74;Левая (2);8.0;Вне стыка;;0 / 0;
11;Дефект;1 - 20303;104;77;Левая (2);7.0;Вне стыка;;0 / 0;
12;Дефект;1 - 20303;104;77;Левая (2);4.0;Вне стыка;;0 / 0;
13;Дефект;1 - 20303;104;80;Левая (2);12.0;Вне стыка;;0 / 0;
14;Дефект;1 - 20303;104;91;Левая (2);4.0;Вне стыка;;0 / 0;
15;Дефект;1 - 20303;104;92;Левая (2);103.0;Вне стыка;;0 / 0;
16;Дефект;1 - 20303;104;92;Левая (2);34.0;Вне стыка;;0 / 0;
17;Дефект;1 - 20303;104;95;Левая (2);8.0;Вне стыка;;0 / 0;
18;Дефект;1 - 20303;104;96;Левая (2);6.0;Вне стыка;;0 / 0;
19;Дефект;1 - 20303;104;97;Левая (2);8.0;Вне стыка;;0 / 0;
20;Дефект;1 - 20303;104;98;Левая (2);6.0;Вне стыка;;0 / 0;
21;Стык. зазор;1 - 20303;105;47;Правая (3);33; ;;25 / 25;
22;Стык. зазор;1 - 20303;105;168;Правая (3);37; ;99.1 – прочие дефекты и повреждения рельса;0 / 0;
23;Стык. зазор;1 - 20303;105;303;Правая (3);31; ;;25 / 25;
24;Стык. зазор;1 - 20303;105;324;Левая (4);37; ;99.1 – прочие дефекты и повреждения рельса;0 / 0;
25;Накладка;1 - 20303;105;626;Правая (1);6 отверстий; ; ;0 / 0;
26;Стык. зазор;1 - 20303;105;626;Правая (3);65; ;99.1 – прочие дефекты и повреждения рельса, Кустовая негодность;0 / 0;
27;Стык. зазор;1 - 20303;106;40;Правая (3);59; ;99.1 – прочие дефекты и повреждения рельса, Кустовая негодность;0 / 0;
